Make,Model,Nickname,Car Gender,Buyer Gender,Buyer Age,Buzzword,Country,City,Dealer Latitude,Dealer Longitude,Color,New Car,Purchase Date,Sale Price,Discount,Resell Price,5-yr Depreciation,Top Speed,0-60 Time
Cadillac,CTS,Roxi,Female,Female,57,infrastructure,Mozambique,Mocímboa,-11.3535985,40.3522402,Indigo,TRUE,17/07/2013,93725.09,0.2,9196.36,0.19,232.3,7.4
Dodge,Durango,Jaquenetta,Male,Female,48,Balanced,Colombia,Ciénaga,10.8698035,-73.9830029,Green,FALSE,28/12/2008,48174.96,0.1,27476.49,0.24,210,4.6
Ford,Th!nk,Kassandra,Male,Female,54,orchestration,Costa Rica,Alajuela,10.0165314,-84.2184331,Red,TRUE,18/01/2011,39940.53,0.6543,21190.78,0.16,133.5,3
Lincoln,Continental,Chrissie,Male,Male,40,radical,Belgium,Charleroi,50.4315612,4.4472854,Mauv,FALSE,28/09/2009,62801.41,0.0507,30282.08,0.15,145.1,10.3
Buick,Riviera,Immanuel,Female,Male,43,client-server,Russia,Novocherkassk,47.3695152,40.0905465,Mauv,FALSE,04/11/2014,99186.8,0.057,25198.46,0.11,163.2,13.3
Dodge,Ram 1500,August,Male,Male,37,Versatile,China,Jiangbei,29.606703,106.574271,Indigo,FALSE,25/09/2018,12092.44,0.4744,36585.91,0.22,127.8,14.5
Buick,Rendezvous,Devin,Female,Female,67,Organized,China,Guli,30.051035,122.0185,Red,TRUE,19/08/2007,85370.17,0.5946,43712.39,0.12,122,6.6
Porsche,928,Hollie,Female,Female,52,Devolved,Portugal,Casal Velho,39.9097534,-8.6587037,Red,FALSE,18/02/2009,91569.45,0.4036,32465.38,0.09,238.2,7
Toyota,Tacoma,Kilian,Female,Male,47,global,Morocco,Zaïo,34.9363523,-2.7431421,Blue,TRUE,17/02/2008,72220.87,0.0389,32189.6,0.05,189.9,2.7
Mitsubishi,Mighty Max,Xever,Female,Male,51,intangible,Portugal,Antas,41.400351,-8.5116191,Puce,TRUE,19/10/2013,67361,0.0754,8769.93,0.02,173.4,12.5
Nissan,Pathfinder,Marylin,Male,Female,33,hub,Indonesia,Andongsari,-8.3743886,113.6383187,Puce,TRUE,05/01/2013,16690.95,0.1239,43704.45,0.06,140.9,3
Volvo,C70,Jeremie,Female,Male,75,Automated,France,Saint-Louis,47.6329545,7.4839022,Yellow,FALSE,27/04/2009,80005.09,0.2991,17870.18,0.19,184.5,14.4
Land Rover,Range Rover Sport,Jessamyn,Male,Female,39,Business-focused,Peru,Achoma,-15.6627675,-71.6992231,Mauv,FALSE,28/04/2003,29540.76,0.1941,37955.07,0.03,239.9,7
Mazda,B-Series,Tania,Male,Female,57,asymmetric,Brazil,Poções,-14.5124962,-40.3496894,Puce,TRUE,05/02/2008,94478.19,0.5603,8795.96,0.17,241.1,13.3
Mazda,Miata MX-5,Hestia,Male,Female,33,User-friendly,Kazakhstan,Taranovskoye,52.8303055,62.5102237,Goldenrod,TRUE,07/09/2017,77820.86,0.4957,7471.61,0.2,167.6,8.8
Mazda,B-Series,Brnaby,Male,Male,23,Synergistic,Russia,Imeni Tsyurupy,55.49567,38.65064,Fuscia,TRUE,08/09/2009,89937.38,0.4935,18059.9,0.18,247.1,14.3
Kia,Sedona,Trixie,Male,Female,47,Vision-oriented,China,Menlou,37.417116,121.241089,Aquamarine,FALSE,18/01/2014,14249.35,0.3563,18006.37,0.19,131.8,9
Dodge,Ram Wagon B150,Sherrie,Male,Female,31,fresh-thinking,Slovenia,Zgornje Gorje,46.3789875,14.0683139,Orange,TRUE,02/10/2014,88403.45,0.6041,38462.86,0.17,140.5,9.4
Oldsmobile,Aurora,Nial,Female,Male,29,success,Colombia,Baranoa,10.796589,-74.915036,Yellow,TRUE,17/04/2015,80008.79,0.5568,15031.08,0.02,212.2,10.1
Hyundai,Accent,Alic,Male,Male,24,workforce,China,Raofeng,28.953503,116.822083,Violet,FALSE,30/12/2014,96871.79,0.1005,26562.59,0.24,221.9,12.6
Cadillac,Seville,Trace,Male,Male,56,definition,Indonesia,Garahaji,-7.0543951,108.6131093,Maroon,TRUE,15/10/2009,32886.45,0.5906,8755.67,0.09,210.2,2.5
Hyundai,Scoupe,Anna-maria,Male,Female,54,directional,Libya,Sirte,31.189689,16.5701927,Turquoise,FALSE,06/06/2005,61187.73,0.2211,5769.58,0.02,193.4,6.3
Lincoln,MKT,Vidovic,Female,Male,22,internet solution,Poland,Unisław,53.2122406,18.3961325,Mauv,FALSE,11/05/2017,82041.15,0.4005,4828.57,0.18,194.4,9.5
Volkswagen,riolet,Earle,Female,Male,68,Exclusive,Philippines,Veruela,8.0708562,125.9551406,Fuscia,FALSE,18/01/2008,61672.51,0.6507,20056.62,0.17,180.6,10
Land Rover,Range Rover,Hazlett,Female,Male,26,attitude-oriented,Greece,Xylókastro,38.0772641,22.6326975,Blue,TRUE,22/11/2010,63541.5,0.3331,25320.33,0.04,156.6,3.2
Dodge,Dakota,Heall,Male,Male,69,Synchronised,China,Dingqing,31.412405,95.595761,Indigo,TRUE,14/09/2013,67756.75,0.5481,48952.84,0.14,171.1,8.8
Chevrolet,Corvette,Simeon,Male,Male,31,attitude,China,Waihai,37.513068,122.120419,Purple,TRUE,30/12/2005,26799.6,0.327,14872.73,0.2,237.1,6.7
Mitsubishi,i-MiEV,Dix,Female,Female,61,Managed,Philippines,Mancilang,11.2666664,123.7333298,Mauv,FALSE,20/04/2020,86271.49,0.3916,8972.83,0.23,171.5,13
GMC,Rally Wagon 3500,Keir,Female,Male,33,homogeneous,South Korea,Incheon,37.4562557,126.7052062,Khaki,FALSE,01/12/2007,20227.66,0.6088,13643.1,0.17,201.4,13.7
Acura,TSX,Deeann,Female,Female,53,hierarchy,Philippines,Allacapan,18.226045,121.555888,Yellow,TRUE,16/08/2020,95145.37,0.1882,8939.94,0.15,135.6,13.9
Acura,ZDX,Meade,Female,Male,21,data-warehouse,Iran,Jongīyeh,31.25583,48.61667,Khaki,FALSE,23/01/2010,78654.35,0.5165,40166.49,0.19,243.9,6.3
Jeep,Cherokee,Coretta,Female,Female,47,ability,Costa Rica,Alajuela,10.0165314,-84.2184331,Maroon,FALSE,16/01/2002,12269.08,0.2123,24563.29,0.22,199.8,14.1
Toyota,Avalon,Zondra,Male,Female,24,conglomeration,China,Zhangshi,37.187796,115.387259,Aquamarine,TRUE,25/04/2016,86030.75,0.4619,11812.27,0.19,209.8,8
Lamborghini,Aventador,Herb,Male,Male,66,attitude,Serbia,Toba,45.6910361,20.5792392,Fuscia,FALSE,02/11/2005,13125.55,0.2144,22598.45,0.17,196.6,10.9
Mercury,Tracer,Gannie,Female,Male,74,info-mediaries,Denmark,København,55.6658602,12.5482906,Teal,FALSE,08/12/2005,10325.14,0.3594,37585.42,0.02,164.4,5.4
Chevrolet,Express 3500,Oswell,Male,Male,53,Graphical User Interface,Czech Republic,Strážnice,48.9010174,17.3168102,Green,FALSE,01/02/2003,94891.39,0.3807,40867.01,0.2,233.7,9.7
Buick,Reatta,Perkin,Female,Male,40,Centralized,Finland,Ruokolahti,61.8628073,29.2775676,Blue,TRUE,20/03/2015,41371.09,0.5978,37181,0.06,120.9,13.5
Volkswagen,Jetta,Mal,Male,Male,32,Open-architected,Indonesia,Krajan,-7.5450262,111.6556388,Fuscia,FALSE,07/10/2006,72916.91,0.0153,25187.09,0.06,167.4,6.4
Lincoln,Navigator L,Whit,Male,Male,30,attitude-oriented,Philippines,Bombon,13.6867437,123.1989968,Goldenrod,FALSE,10/09/2012,49236.57,0.233,43125.82,0.2,233,4.7
Nissan,300ZX,Stevena,Male,Female,65,incremental,Japan,Okaya,35.0475045,136.1219714,Green,FALSE,07/11/2008,89316.77,0.4114,48449.81,0.02,232,12.9
Toyota,MR2,Melony,Male,Female,40,Progressive,Argentina,Carhué,-34.6738798,-58.4933597,Fuscia,TRUE,21/06/2006,50551.94,0.1761,17203.48,0.24,217,12.2
Suzuki,Swift,Hugh,Female,Male,68,Intuitive,Indonesia,Pandian,-7.0116198,113.8510375,Purple,TRUE,01/06/2012,65942.41,0.3707,5906.33,0.16,142.8,2.9
Mitsubishi,Tredia,Teodoor,Female,Male,21,Distributed,Indonesia,Cipanjang,-6.765065,107.8643822,Teal,FALSE,10/11/2015,64606.94,0.1835,13087.44,0.17,158.5,2.9
Mitsubishi,Mirage,Barclay,Female,Male,51,Ergonomic,Honduras,Quebradas,14.3770919,-87.1242072,Pink,TRUE,18/07/2015,36633.17,0.0835,44886.19,0.11,135.3,6.2
Chevrolet,Monte Carlo,Leandra,Male,Female,22,application,Philippines,Tarlac City,15.4621386,120.5797508,Purple,FALSE,18/07/2003,71271.58,0.2057,35814.7,0.21,139.5,2.7
Saturn,VUE,Corey,Male,Male,72,Streamlined,Bulgaria,Strazhitsa,43.273732,25.9799453,Pink,TRUE,12/09/2018,51257.04,0.5219,33433.41,0.18,124.9,10.5
Volkswagen,GTI,Adrian,Male,Female,24,Upgradable,Brazil,Brodósqui,-19.8078961,-43.9875878,Mauv,TRUE,12/04/2017,21483.41,0.5382,28182.4,0.16,193.7,11.2
Plymouth,Prowler,Annemarie,Female,Female,66,Multi-lateral,Indonesia,Kedungwringin,-7.4461263,109.2207098,Yellow,FALSE,22/04/2012,96277.99,0.0542,23765.17,0.06,164.9,9.5
Audi,A8,Phylys,Female,Female,37,strategy,Indonesia,Duwaktenggi,-7.1108,113.5265,Maroon,FALSE,01/06/2013,11287.25,0.3109,34835.55,0.09,169.1,7.1
Lamborghini,Diablo,Arnold,Female,Male,38,utilisation,Mexico,Providencia,32.458113,-116.9193767,Mauv,FALSE,28/02/2013,87311.9,0.3602,42468.37,0.04,245.1,7.2
Mercedes-Benz,R-Class,Pooh,Female,Male,71,Horizontal,Peru,Ica,-14.07546,-75.7341811,Maroon,TRUE,10/01/2018,32143.59,0.3586,29177.53,0.16,134.3,13.7
Cadillac,XLR,Gerty,Male,Female,73,leading edge,Mexico,La Esperanza,23.7173024,-99.185752,Violet,FALSE,23/08/2002,94162.23,0.6042,9953.73,0.19,139.6,9.4
Mazda,626,Durand,Female,Male,67,national,China,Jiutai,44.151742,125.8395731,Yellow,FALSE,08/08/2011,80656.65,0.5077,48768.09,0.14,157.9,3.4
Pontiac,Firebird,Afton,Male,Female,29,artificial intelligence,Japan,Maki,37.6623635,139.1346049,Yellow,FALSE,11/09/2013,94996.07,0.0866,20574.37,0.08,211.9,11.5
Honda,Fit,Nikolai,Male,Male,66,Extended,Peru,Granada,-6.05,-77.583333,Crimson,FALSE,13/03/2012,64560.37,0.4185,37241.46,0.01,143.2,10.3
Lexus,ES,Trevor,Male,Male,34,time-frame,Czech Republic,Březí,49.3431786,16.2159455,Khaki,FALSE,05/04/2005,75463.55,0.6147,35588.91,0.09,249,11.4
BMW,7 Series,Orelie,Male,Female,40,structure,United States,Chicago,41.8784851,-87.627893,Yellow,FALSE,16/02/2007,22060.5,0.2873,17943.65,0.25,171,6.3
Mazda,Millenia,Sydney,Male,Male,62,process improvement,Philippines,Sibucao,10.4184707,122.8854511,Aquamarine,FALSE,29/05/2014,82657.77,0.5422,40091.69,0.21,177.1,2.3
Cadillac,STS,Demetris,Male,Female,21,help-desk,Kiribati,Betio Village,1.3566345,172.9299068,Red,TRUE,29/09/2003,81090.19,0.1061,9615.36,0.24,244.3,12.3
Porsche,911,Angie,Male,Male,37,Extended,China,Baihe,32.809026,110.112629,Green,FALSE,03/01/2017,97251.74,0.6322,42643.45,0.19,228.9,6.9
Chevrolet,Camaro,Dmitri,Female,Male,56,installation,Mexico,El Limon,19.75,-104.016667,Aquamarine,FALSE,07/05/2016,75317.54,0.1836,9056.29,0.22,191.3,3.7
Toyota,Paseo,Linea,Male,Female,68,foreground,South Africa,Jan Kempdorp,-27.92295,24.83446,Puce,TRUE,02/02/2007,75504.88,0.0641,17685.3,0.15,147.3,4.3
Cadillac,Escalade ESV,Maxi,Male,Female,22,Future-proofed,Brazil,Trindade,-7.740099,-40.2884386,Blue,FALSE,25/10/2006,30728.18,0.2784,45652.52,0.04,203.9,14.7
Oldsmobile,Alero,Chantal,Female,Female,58,Innovative,China,Baozi,30.131784,120.056029,Teal,TRUE,26/02/2003,11609.78,0.1487,18772.76,0.05,238.5,3
Lexus,GS,Hunfredo,Male,Male,27,standardization,United States,Van Nuys,34.1985119,-118.4980744,Turquoise,FALSE,28/11/2002,57177.42,0.5584,49239.84,0.17,182.7,10.9
BMW,M3,Clerissa,Male,Female,26,Team-oriented,China,Fengqiao,30.780217,120.644805,Pink,FALSE,08/03/2017,94448.79,0.3456,33328.55,0.14,193.8,7.6
Cadillac,Escalade,Kellsie,Male,Female,63,Visionary,United States,Omaha,41.2418116,-95.9673967,Green,FALSE,01/03/2008,63096.11,0.0116,19383.63,0.24,229,5.3
Pontiac,Trans Sport,Lina,Female,Female,24,Cross-platform,China,Sexiong,31.394935,92.835795,Indigo,TRUE,25/02/2008,42191.59,0.3234,6153.48,0.04,195.1,6.5
Honda,Civic,Isak,Female,Male,24,system engine,China,Shuangjing,39.896995,116.46662,Red,FALSE,16/02/2015,57860.96,0.3663,23047.65,0.25,128.2,4.3
Mercury,Topaz,Melita,Female,Female,53,alliance,Chile,Los Ángeles,-37.4629159,-72.3612251,Orange,FALSE,17/09/2005,78275.4,0.4228,47037.99,0.08,188,12.1
Mazda,MPV,Laura,Female,Female,25,archive,Russia,Mar’ina Roshcha,56.2835999,44.0036677,Crimson,FALSE,16/02/2004,85619.92,0.375,23323.23,0.02,231.3,13
Toyota,MR2,Sibbie,Female,Female,42,global,Japan,Chino,35.089251,135.8827528,Violet,TRUE,28/10/2004,15788.39,0.1417,6342.62,0.21,248.6,4.3
Suzuki,Swift,Ettie,Female,Female,61,Upgradable,Japan,Sasebo,33.2487196,129.736915,Violet,FALSE,12/05/2007,94045.36,0.292,43612.23,0.15,193.9,14
Honda,Civic,Markus,Male,Male,41,static,Kosovo,Gllogjan,42.5064293,20.3599254,Green,FALSE,02/01/2007,14212.88,0.5741,42933.75,0.1,201.2,5.3
BMW,6 Series,Abel,Male,Male,20,Expanded,China,Yiqi,39.1372748,111.6717568,Aquamarine,TRUE,12/09/2009,33527.91,0.4813,38401.36,0.24,137.2,8.7
Mercury,Lynx,Sergeant,Male,Male,26,Decentralized,China,Qiankeng,26.750454,119.105047,Red,TRUE,19/09/2002,29563.05,0.6375,49251.28,0.07,149,4
Buick,Century,Phil,Female,Female,40,Synchronised,France,Paris 04,43.4945737,5.8978018,Red,TRUE,10/02/2008,28069.14,0.5426,3384.26,0.14,160.7,10.6
BMW,330,Joseph,Male,Male,67,local area network,China,Zonghan,30.184907,121.227926,Fuscia,TRUE,14/11/2008,36588.29,0.6931,40824.76,0.19,177.9,2.8
Mitsubishi,Cordia,Nina,Male,Female,65,orchestration,United States,Migrate,38.3237571,-108.1821561,Blue,TRUE,01/03/2020,86350.32,0.2886,19850.62,0.05,124.5,7.5
Volvo,XC90,Concordia,Female,Female,44,neutral,France,Charleville-Mézières,49.7720225,4.7201792,Khaki,TRUE,19/11/2015,36700.85,0.3661,45806.23,0.07,242,7.6
Maserati,228,Toby,Male,Female,57,attitude,China,Huangdimiao,33.765469,113.994752,Maroon,TRUE,23/09/2004,34974.97,0.3454,13020.82,0.24,174.2,3.4
Chevrolet,Venture,Law,Male,Male,31,Pre-emptive,Greece,Ílion,38.0307786,23.7038541,Goldenrod,FALSE,22/01/2016,30928.23,0.2766,23444.88,0.06,225.1,5.2
Cadillac,DeVille,Larissa,Female,Female,35,methodical,Russia,Bobrov,51.0846,39.9972,Violet,FALSE,18/09/2003,66283.98,0.1554,2409.83,0.08,233.3,5.1
Lexus,IS-F,Judi,Male,Female,53,service-desk,China,Taixi,34.657162,104.549685,Green,FALSE,09/06/2003,75332.73,0.5734,32384.92,0.1,124.1,9.8
Nissan,Sentra,Niles,Male,Male,34,array,Sweden,Umeå,63.8277884,20.2655577,Turquoise,FALSE,15/07/2003,30464.6,0.2383,3131.75,0.19,128.5,11.6
Ford,Escort,Crystal,Male,Female,37,Optional,Pakistan,Daulatpur,26.5015552,67.9731001,Blue,FALSE,26/10/2007,63177.26,0.6657,33893.06,0.11,221.4,7.7
Oldsmobile,Cutlass Supreme,Penelopa,Male,Female,56,content-based,China,Shanghu,31.2303904,121.4737021,Red,FALSE,20/03/2019,46709.45,0.1984,46184.9,0.2,158.4,3.5
Audi,S8,Romola,Male,Female,23,Face to face,Indonesia,Cihideung Satu,-6.9028171,106.3483779,Yellow,TRUE,21/01/2015,62496.9,0.0454,49168.17,0.25,236.8,14
Pontiac,Firebird,Lewiss,Female,Male,45,Vision-oriented,Kuwait,Bayān,29.2979895,48.0510871,Indigo,TRUE,01/07/2017,71301.2,0.5589,15055.83,0.13,228.5,13.5
Hyundai,Elantra,Martie,Male,Female,20,Pre-emptive,China,Huaqiao,24.9372186,118.6422409,Mauv,FALSE,16/12/2016,66157.63,0.4681,8070.75,0.07,125.1,2.3
Aston Martin,DB9,Paquito,Female,Male,47,service-desk,Ukraine,Tlumach,48.8588029,24.9968117,Violet,FALSE,06/12/2018,75881.16,0.6649,10743.31,0.03,240,9.7
Volkswagen,New Beetle,Steven,Male,Male,36,matrices,Ecuador,Machachi,-0.5107264,-78.5717631,Pink,FALSE,09/01/2009,34156.39,0.2888,13071.68,0.23,172.3,2.5
Chevrolet,Uplander,Jefferey,Female,Male,59,Function-based,Indonesia,Pedaringan,-7.5539241,110.8513373,Green,FALSE,19/04/2020,80753.77,0.49,43638.05,0.23,246.5,11.4
Ford,Laser,Margareta,Male,Female,72,Switchable,Liberia,Kakata,6.5301553,-10.3441758,Pink,TRUE,05/09/2008,42705.38,0.0404,36280.09,0.15,187,14.9
Audi,S4,Wait,Female,Male,54,Monitored,United States,Austin,30.181965,-97.9701846,Pink,FALSE,07/09/2009,91954.75,0.3502,26324.05,0.15,220.6,11.2
